,table,count_into_etl,count_select_dev
163,tbl_139648,24,0
164,tbl_139650,0,0
165,tbl_11403,13,0
166,tbl_58921,26,3
167,tbl_58920,0,0
168,tbl_140963,24,7
169,tbl_141228,0,7
170,tbl_142203,26,19
171,tbl_142265,26,8
172,tbl_142270,24,8
173,tbl_142274,24,8
174,tbl_142418,26,8
175,tbl_57475,28,0
176,tbl_57476,0,0
177,tbl_7098,0,96
178,tbl_7101,0,48
179,tbl_7104,0,48
180,tbl_7107,0,48
181,tbl_7109,0,48
182,tbl_7114,0,48
183,tbl_161660,26,7
184,tbl_162279,0,11
185,tbl_163136,26,37
186,tbl_163183,26,7
187,tbl_163192,26,11
188,tbl_163302,26,12
189,tbl_173463,24,98
190,tbl_173572,24,48
191,tbl_173945,28,48
192,tbl_140713,26,0
193,tbl_140712,0,0
194,tbl_76161,22,0
195,tbl_151847,22,52
196,tbl_52391,26,0
197,tbl_52389,0,0
198,tbl_53027,26,0
199,tbl_53028,0,0
200,tbl_163645,24,7
201,tbl_164264,0,7
202,tbl_165112,22,19
203,tbl_165159,24,7
204,tbl_165167,22,7
205,tbl_165280,24,7
206,tbl_74294,24,0
207,tbl_74293,0,0
208,tbl_195560,24,0
209,tbl_195562,0,0
210,tbl_142374,24,0
211,tbl_142376,0,0
212,tbl_140200,24,1
213,tbl_140201,0,0
214,tbl_46596,26,25
215,tbl_46595,0,0
216,tbl_39061,24,0
217,tbl_39138,96,0
218,tbl_289966,0,0
219,tbl_289965,48,0
220,tbl_157363,26,0
221,tbl_157364,0,0
222,tbl_71741,26,59
223,tbl_71829,0,59
224,tbl_72236,0,59
225,tbl_157620,26,0
226,tbl_157621,0,0
227,tbl_126192,24,0
228,tbl_126190,0,0
229,tbl_53161,26,0
230,tbl_53162,0,0
231,tbl_143199,22,7
232,tbl_143464,0,7
233,tbl_144435,22,19
234,tbl_144497,22,8
235,tbl_144501,22,8
236,tbl_144506,22,8
237,tbl_144649,22,8
238,tbl_74241,24,59
239,tbl_74327,0,59
240,tbl_74747,0,59
241,tbl_46092,24,4
242,tbl_46093,0,0
243,tbl_73044,24,0
244,tbl_73045,0,0
245,tbl_138721,22,7
246,tbl_138986,0,7
247,tbl_139948,22,19
248,tbl_140009,22,8
249,tbl_140011,24,8
250,tbl_140018,22,8
251,tbl_140160,20,8
252,tbl_158127,26,0
253,tbl_158128,0,0
254,tbl_141461,26,0
255,tbl_141463,0,0
256,tbl_158130,24,0
257,tbl_158129,0,0
258,tbl_18637,0,105
259,tbl_18780,0,105
260,tbl_18796,0,105
261,tbl_20795,0,105
262,tbl_20811,0,105
263,tbl_21279,0,6
264,tbl_29481,817,0
265,tbl_39104,34,0
266,tbl_39181,136,0
267,tbl_291084,0,0
268,tbl_291083,68,0
269,tbl_157780,26,0
270,tbl_157781,0,0
271,tbl_122159,24,0
272,tbl_122160,0,0
273,tbl_46598,26,0
274,tbl_46599,0,0
275,tbl_195443,24,0
276,tbl_195529,24,0
277,tbl_195528,0,0
278,tbl_10523,14,0
279,tbl_157235,26,0
280,tbl_157236,0,0
281,tbl_142329,26,0
282,tbl_34962,14,0
283,tbl_34965,14,0
284,tbl_35667,14,0
285,tbl_37594,14,0
286,tbl_37598,14,0
287,tbl_37602,14,0
288,tbl_178241,11,634
289,tbl_178250,0,71
290,tbl_178281,11,0
291,tbl_178345,12,2
292,tbl_178359,11,1102
293,tbl_178369,11,147
294,tbl_178381,11,158
295,tbl_178398,11,927
296,tbl_178401,11,1267
297,tbl_178422,22,111
298,tbl_178425,22,68
299,tbl_178430,12,864
300,tbl_178438,11,11
301,tbl_178444,11,0
302,tbl_279154,14,0
303,tbl_53020,26,0
304,tbl_53019,0,0
305,tbl_9603,0,113
306,tbl_9665,0,112
307,tbl_14719,0,0
308,tbl_39128,23,0
309,tbl_39205,115,0
310,tbl_291708,0,0
311,tbl_291707,69,0
312,tbl_39108,15,0
313,tbl_39185,60,0
314,tbl_291187,0,0
315,tbl_291188,30,0
316,tbl_141473,24,0
317,tbl_141475,0,0
318,tbl_46686,24,2
319,tbl_46685,0,0
320,tbl_74707,24,0
321,tbl_74708,0,0
322,tbl_19103,0,224
323,tbl_29042,0,121
324,tbl_37619,17,0
325,tbl_37635,34,0
326,tbl_37677,17,0
327,tbl_114029,22,0
328,tbl_114032,11,0
329,tbl_114055,11,0
330,tbl_114202,22,2
331,tbl_114204,22,2
332,tbl_114335,0,0
333,tbl_114617,22,12
334,tbl_114676,22,3
335,tbl_114680,0,3
336,tbl_114682,22,2
337,tbl_114687,22,2
338,tbl_114767,22,3
339,tbl_114768,22,3
340,tbl_114829,22,0
341,tbl_126841,22,0
342,tbl_126876,0,0
343,tbl_126941,22,0
344,tbl_126945,0,5
345,tbl_126984,0,0
346,tbl_127023,0,5
347,tbl_127218,0,0
348,tbl_127259,0,0
349,tbl_127300,22,0
350,tbl_127335,0,0
351,tbl_127457,0,0
352,tbl_127499,0,5
353,tbl_127506,22,0
354,tbl_127551,0,5
355,tbl_349795,85,0
356,tbl_158131,26,0
357,tbl_158132,0,0
358,tbl_140710,24,0
359,tbl_140711,0,0
360,tbl_79626,0,2
361,tbl_79633,14,4
362,tbl_79638,13,0
363,tbl_79773,13,0
364,tbl_79791,0,38
365,tbl_79847,13,22
366,tbl_79875,0,19
367,tbl_79912,3,0
368,tbl_79914,1,0
369,tbl_79915,1,0
370,tbl_79953,0,19
371,tbl_79976,0,0
372,tbl_80100,0,7
373,tbl_80128,0,19
374,tbl_80178,13,3
375,tbl_80234,0,21
376,tbl_80321,0,0
377,tbl_80343,0,7
378,tbl_80371,0,0
379,tbl_80376,0,0
380,tbl_80409,0,0
381,tbl_80426,0,0
382,tbl_80432,0,0
383,tbl_73048,24,7
384,tbl_73046,0,0
385,tbl_75317,26,0
386,tbl_75316,0,0
387,tbl_51097,68,0
388,tbl_51096,0,0
389,tbl_75504,24,0
390,tbl_75503,0,0
391,tbl_51084,70,0
392,tbl_51082,0,0
393,tbl_9012,0,44
394,tbl_9859,0,144
395,tbl_19170,0,110
396,tbl_39048,90,0
397,tbl_160359,0,6
398,tbl_160864,0,0
399,tbl_161161,28,20
400,tbl_161177,0,0
401,tbl_161191,0,0
402,tbl_161218,28,6
403,tbl_161219,28,0
404,tbl_161227,0,0
405,tbl_161303,0,0
406,tbl_161318,28,7
407,tbl_162815,0,0
408,tbl_163151,0,4
409,tbl_163163,0,0
410,tbl_163193,26,0
411,tbl_163201,0,4
412,tbl_163289,0,0
413,tbl_164802,0,0
414,tbl_165127,0,0
415,tbl_165139,0,0
416,tbl_165169,24,0
417,tbl_165178,0,0
418,tbl_165264,0,0
419,tbl_166240,0,7
420,tbl_166767,0,0
421,tbl_167087,26,19
422,tbl_167102,0,0
423,tbl_167117,0,0
424,tbl_167143,24,7
425,tbl_167146,26,0
426,tbl_167153,0,0
427,tbl_167240,0,0
428,tbl_167255,26,7
429,tbl_168217,0,7
430,tbl_169053,26,19
431,tbl_169070,0,0
432,tbl_169111,26,7
433,tbl_169112,26,0
434,tbl_169121,0,0
435,tbl_169207,0,0
436,tbl_169222,26,7
437,tbl_190260,0,22
438,tbl_39067,23,0
439,tbl_39144,92,0
440,tbl_290122,0,0
441,tbl_290121,46,0
442,tbl_141406,26,0
443,tbl_141405,0,0
444,tbl_75319,24,0
445,tbl_75318,0,0
446,tbl_157912,24,0
447,tbl_157911,0,0
448,tbl_12655,11,0
449,tbl_14579,0,0
450,tbl_35027,22,0
451,tbl_110604,22,2
452,tbl_76280,18,5
453,tbl_77184,0,0
454,tbl_78892,1,0
455,tbl_81838,0,42
456,tbl_81894,13,25
457,tbl_81922,0,21
458,tbl_81963,1,0
459,tbl_82176,0,21
460,tbl_82226,13,1
461,tbl_8222,14,0
462,tbl_142202,0,0
463,tbl_37646,16,0
464,tbl_59331,0,0
465,tbl_59368,22,0
466,tbl_59611,22,4
467,tbl_59718,22,0
468,tbl_60630,22,21
469,tbl_60819,22,10
470,tbl_60823,22,36
471,tbl_60853,22,0
472,tbl_60860,22,0
473,tbl_349330,16,0
474,tbl_142273,24,0
475,tbl_142272,0,0
476,tbl_195573,24,0
477,tbl_195574,0,0
478,tbl_84611,12,0
479,tbl_84967,13,3
480,tbl_75140,24,0
481,tbl_75139,0,0
482,tbl_74884,28,0
483,tbl_74885,0,0
484,tbl_157247,26,0
485,tbl_157246,0,0
486,tbl_121606,24,0
487,tbl_121608,0,0
488,tbl_152291,22,51
489,tbl_142507,24,0
490,tbl_142506,0,0
491,tbl_79899,2,0
492,tbl_80012,0,7
493,tbl_80149,0,0
494,tbl_141478,30,1
495,tbl_142211,24,0
496,tbl_142209,0,0
497,tbl_50665,68,1
498,tbl_50666,0,0
499,tbl_33185,0,3484
500,tbl_44922,0,506
501,tbl_52598,26,0
502,tbl_52599,0,0
503,tbl_90854,20,5
504,tbl_157248,26,0
505,tbl_157250,0,0
506,tbl_72992,24,60
507,tbl_73077,0,60
508,tbl_73486,0,60
509,tbl_77718,0,52
510,tbl_77776,12,38
511,tbl_77823,0,26
512,tbl_77846,2,0
513,tbl_77961,0,7
514,tbl_78078,0,26
515,tbl_78099,0,0
516,tbl_121965,24,0
517,tbl_121964,0,0
518,tbl_7096,0,180
519,tbl_7099,0,90
520,tbl_7102,0,90
521,tbl_7106,0,90
522,tbl_7108,0,90
523,tbl_7110,0,90
524,tbl_7111,0,90
525,tbl_7112,0,90
526,tbl_59812,0,9
527,tbl_60734,22,360
528,tbl_60737,22,180
529,tbl_60744,22,183
530,tbl_73617,24,59
531,tbl_73673,22,7
532,tbl_73704,0,59
533,tbl_74156,22,7
534,tbl_74157,0,14
535,tbl_157252,26,0
536,tbl_157251,0,0
537,tbl_37648,17,0
538,tbl_63192,0,0
539,tbl_63232,24,0
540,tbl_63474,22,4
541,tbl_63580,28,0
542,tbl_64494,26,21
543,tbl_64683,26,5
544,tbl_64685,26,36
545,tbl_64716,26,0
546,tbl_64723,26,0
547,tbl_349360,17,0
548,tbl_37608,11,0
549,tbl_37624,22,0
550,tbl_37666,11,0
551,tbl_99037,24,0
552,tbl_99040,11,0
553,tbl_99063,11,0
554,tbl_99212,22,1
555,tbl_99215,22,1
556,tbl_99342,0,0
557,tbl_99629,22,12
558,tbl_99688,22,2
559,tbl_99692,0,2
560,tbl_99694,22,1
561,tbl_99699,22,2
562,tbl_99770,24,2
563,tbl_99771,22,2
564,tbl_99834,22,0
565,tbl_117710,20,0
566,tbl_117754,0,0
567,tbl_117821,20,0
568,tbl_117823,0,4
569,tbl_117851,0,0
570,tbl_117890,0,4
571,tbl_118083,0,0
572,tbl_118127,0,0
573,tbl_118166,22,0
574,tbl_118203,0,0
575,tbl_118322,0,0
576,tbl_118366,0,4
577,tbl_118372,22,0
578,tbl_118419,0,4
579,tbl_349630,55,0
580,tbl_39046,68,0
581,tbl_129588,0,0
582,tbl_129829,22,6
583,tbl_130779,0,0
584,tbl_131065,22,18
585,tbl_131074,22,0
586,tbl_131087,0,0
587,tbl_131137,22,11
588,tbl_131140,22,0
589,tbl_131147,0,0
590,tbl_131232,22,0
591,tbl_131277,22,34
592,tbl_131808,0,0
593,tbl_132048,22,7
594,tbl_132987,0,0
595,tbl_133284,20,19
596,tbl_133293,22,0
597,tbl_133306,0,0
598,tbl_133354,20,8
599,tbl_133358,20,0
600,tbl_133366,0,0
601,tbl_133451,20,0
602,tbl_133498,20,8
603,tbl_134031,0,0
604,tbl_134272,22,7
605,tbl_135222,0,0
606,tbl_135507,22,19
607,tbl_135518,22,0
608,tbl_135531,0,0
609,tbl_135579,22,8
610,tbl_135583,22,0
611,tbl_135591,0,0
612,tbl_135677,22,0
613,tbl_135720,22,8
614,tbl_136257,0,0
615,tbl_136497,24,7
616,tbl_137437,0,0
617,tbl_137734,24,19
618,tbl_137744,22,0
619,tbl_137756,0,0
620,tbl_137805,22,8
621,tbl_137809,24,0
622,tbl_137817,0,0
623,tbl_137903,22,0
624,tbl_137946,22,8
625,tbl_189171,0,11
626,tbl_58067,26,0
627,tbl_58068,0,0
628,tbl_141296,24,0
629,tbl_141295,0,0
630,tbl_201493,24,0
631,tbl_201491,0,0
632,tbl_195568,24,0
633,tbl_195567,0,0
634,tbl_51201,71,0
635,tbl_51202,0,0
636,tbl_143347,22,0
637,tbl_143349,0,0
638,tbl_52477,26,0
639,tbl_52476,0,0
640,tbl_141455,24,0
641,tbl_141457,0,0
642,tbl_8333,0,0
643,tbl_187190,0,217
644,tbl_187195,2,0
645,tbl_187197,2,0
646,tbl_191495,3,579
647,tbl_191775,0,4
648,tbl_191930,1,341
649,tbl_206828,0,0
650,tbl_380917,12,0
651,tbl_115768,22,0
652,tbl_115771,0,1
653,tbl_115860,0,0
654,tbl_335643,18,0
655,tbl_169565,26,7
656,tbl_170195,0,7
657,tbl_171031,26,19
658,tbl_171082,26,7
659,tbl_171089,26,7
660,tbl_171201,26,7
661,tbl_173857,0,54
662,tbl_50667,72,0
663,tbl_50668,0,0
664,tbl_75226,24,0
665,tbl_75225,0,0
666,tbl_126168,24,0
667,tbl_126167,0,0
668,tbl_142269,0,0
669,tbl_136763,0,7
670,tbl_137796,22,8
671,tbl_137800,22,8
672,tbl_195569,24,0
673,tbl_195571,0,0
674,tbl_171555,28,7
675,tbl_172151,0,7
676,tbl_172977,24,19
677,tbl_173023,26,7
678,tbl_173033,28,7
679,tbl_173134,28,7
680,tbl_12622,12,0
681,tbl_10583,13,0
682,tbl_10584,39,0
683,tbl_34721,13,0
684,tbl_115440,0,2
685,tbl_116129,22,3
686,tbl_116131,22,3
687,tbl_195504,26,0
688,tbl_195505,0,0
689,tbl_52906,24,21
690,tbl_52905,0,0
691,tbl_47337,24,0
692,tbl_47338,0,0
693,tbl_46803,24,1
694,tbl_46802,0,0
695,tbl_126618,24,0
696,tbl_126616,0,0
697,tbl_140902,24,0
698,tbl_140901,0,0
699,tbl_122173,24,0
700,tbl_122174,0,0
701,tbl_337754,12,0
702,tbl_46805,24,0
703,tbl_46806,0,0
704,tbl_37644,15,0
705,tbl_55469,0,0
706,tbl_55506,24,0
707,tbl_55748,22,4
708,tbl_55855,22,0
709,tbl_56769,22,21
710,tbl_56958,24,5
711,tbl_56961,22,36
712,tbl_56991,22,0
713,tbl_56997,22,0
714,tbl_349300,15,0
715,tbl_141905,24,0
716,tbl_141904,0,0
717,tbl_157777,26,0
718,tbl_157776,0,0
719,tbl_141797,24,0
720,tbl_141795,0,0
721,tbl_140849,30,0
722,tbl_201494,24,0
723,tbl_201496,0,0
724,tbl_122038,24,0
725,tbl_122039,0,0
726,tbl_140764,28,0
727,tbl_157368,26,0
728,tbl_157369,0,0
729,tbl_126733,24,0
730,tbl_126734,0,0
731,tbl_157373,26,0
732,tbl_157374,0,0
733,tbl_143696,26,0
734,tbl_143695,0,0
735,tbl_78946,26,0
736,tbl_78947,0,0
737,tbl_157868,26,0
738,tbl_157867,0,0
739,tbl_48227,2,7
740,tbl_49045,30,21
741,tbl_49236,30,36
742,tbl_71115,22,59
743,tbl_71171,22,7
744,tbl_71203,0,59
745,tbl_71657,22,7
746,tbl_71658,0,14
747,tbl_81946,2,0
748,tbl_82060,0,7
749,tbl_82197,0,0
750,tbl_188447,0,217
751,tbl_188452,2,0
752,tbl_188454,2,0
753,tbl_380943,12,0
754,tbl_142457,24,1
755,tbl_142459,0,0
756,tbl_58891,26,36
757,tbl_58892,0,0
758,tbl_74111,0,59
759,tbl_157239,26,0
760,tbl_44937,0,1008
761,tbl_211425,0,2026
762,tbl_75417,24,0
763,tbl_75418,0,0
764,tbl_201506,24,0
765,tbl_201505,0,0
766,tbl_132312,0,7
767,tbl_133347,20,8
768,tbl_133349,20,8
769,tbl_77863,1,0
770,tbl_78129,12,5
771,tbl_158200,26,0
772,tbl_158199,0,0
773,tbl_51230,68,0
774,tbl_51231,0,0
775,tbl_39065,20,0
776,tbl_39142,80,0
777,tbl_290069,0,0
778,tbl_290070,40,0
779,tbl_8215,14,0
780,tbl_10529,15,0
781,tbl_88011,12,75
782,tbl_88031,12,22
783,tbl_91953,26,33
784,tbl_47234,24,0
785,tbl_47235,0,0
786,tbl_380076,24,0
787,tbl_46206,24,0
788,tbl_157409,26,0
789,tbl_157410,0,0
790,tbl_85256,24,0
791,tbl_85257,0,0
792,tbl_16749,12,0
793,tbl_14970,0,0
794,tbl_35662,29,0
795,tbl_35670,14,0
796,tbl_37592,14,0
797,tbl_37596,14,0
798,tbl_37600,14,0
799,tbl_178332,11,2322
800,tbl_278715,14,0
801,tbl_69606,22,0
802,tbl_41016,12,0
803,tbl_387011,0,0
804,tbl_157358,26,0
805,tbl_157359,0,0
806,tbl_142285,26,0
807,tbl_142284,0,0
808,tbl_73613,24,0
809,tbl_73612,0,0
810,tbl_195781,24,0
811,tbl_195782,0,0
812,tbl_126593,24,0
813,tbl_126594,0,0
814,tbl_39109,14,0
815,tbl_39186,56,0
816,tbl_291214,0,0
817,tbl_291213,28,0
818,tbl_142953,24,0
819,tbl_142954,0,0
820,tbl_76642,24,0
821,tbl_47224,24,0
822,tbl_47225,0,0
823,tbl_74940,24,0
824,tbl_74939,0,0
825,tbl_141479,24,2
826,tbl_141481,0,0
827,tbl_69788,22,0
828,tbl_195559,26,0
829,tbl_195558,0,0
830,tbl_157784,26,0
831,tbl_157786,0,0
832,tbl_50065,68,0
833,tbl_50066,0,0
834,tbl_8577,0,9
835,tbl_26789,32,0
836,tbl_35081,0,0
837,tbl_35082,56,0
838,tbl_39038,28,0
839,tbl_155331,0,5
840,tbl_155389,12,0
841,tbl_155468,0,5
842,tbl_155475,0,5
843,tbl_155530,12,0
844,tbl_155537,0,5
845,tbl_155599,11,0
846,tbl_155740,11,29
847,tbl_155837,12,0
848,tbl_155846,12,0
849,tbl_156063,12,0
850,tbl_156109,11,0
851,tbl_156298,11,0
852,tbl_156305,0,5
853,tbl_156346,13,0
854,tbl_156593,12,0
855,tbl_156639,0,12
856,tbl_156853,11,0
857,tbl_184293,0,7
858,tbl_193508,0,0
859,tbl_193575,0,10
860,tbl_280710,14,0
861,tbl_126080,22,0
862,tbl_126081,0,0
863,tbl_78468,14,0
864,tbl_142416,0,0
865,tbl_52392,26,0
866,tbl_52393,0,0
867,tbl_140961,0,0
868,tbl_201500,24,0
869,tbl_201502,0,0
870,tbl_201497,26,0
871,tbl_201499,0,0
872,tbl_8225,14,0
873,tbl_10612,13,0
874,tbl_10613,36,0
875,tbl_34741,12,0
876,tbl_155743,12,0
877,tbl_49756,66,0
878,tbl_49755,0,0
879,tbl_122176,24,0
880,tbl_122175,0,0
881,tbl_142276,0,0
882,tbl_141325,26,0
883,tbl_141326,0,0
884,tbl_121582,24,0
885,tbl_121583,0,0
886,tbl_190628,0,229
887,tbl_190633,2,0
888,tbl_190637,2,0
889,tbl_380996,13,0
890,tbl_109789,22,1
891,tbl_109863,0,1
892,tbl_109986,0,1
893,tbl_110120,22,1
894,tbl_110123,22,1
895,tbl_110125,22,1
896,tbl_110594,22,2
897,tbl_110598,0,2
898,tbl_110600,22,1
899,tbl_110672,22,2
900,tbl_110675,22,2
901,tbl_51888,26,4
902,tbl_51887,0,0
903,tbl_140772,28,0
904,tbl_78875,2,0
905,tbl_78988,0,7
906,tbl_79125,0,0
907,tbl_195778,24,0
908,tbl_195777,0,0
909,tbl_77917,24,0
910,tbl_77918,0,0
911,tbl_58179,26,0
912,tbl_58178,0,0
913,tbl_51197,66,3
914,tbl_51196,0,0
915,tbl_37647,16,0
916,tbl_61262,0,0
917,tbl_61301,22,0
918,tbl_61542,22,4
919,tbl_61648,22,0
920,tbl_62562,22,21
921,tbl_62752,22,5
922,tbl_62754,22,36
923,tbl_62785,22,0
924,tbl_62791,22,0
925,tbl_349344,16,0
926,tbl_158079,26,0
927,tbl_47345,24,1
928,tbl_47346,0,0
929,tbl_142220,26,12
930,tbl_142218,0,0
931,tbl_142371,26,0
932,tbl_10601,15,0
933,tbl_10600,45,0
934,tbl_34732,15,0
935,tbl_142414,26,1
936,tbl_142461,24,1
937,tbl_142470,24,0
938,tbl_151312,22,0
939,tbl_151364,22,0
940,tbl_157969,26,0
941,tbl_157970,0,0
942,tbl_73437,24,0
943,tbl_73438,0,0
944,tbl_21654,0,39
945,tbl_97299,2,0
946,tbl_97331,2,0
947,tbl_97346,48,0
948,tbl_97347,24,0
949,tbl_97348,24,0
950,tbl_97349,0,0
951,tbl_97350,72,0
952,tbl_97351,24,0
953,tbl_97352,48,0
954,tbl_97354,0,0
955,tbl_97779,24,0
956,tbl_97780,24,0
957,tbl_97781,24,0
958,tbl_97782,24,0
959,tbl_97783,24,0
960,tbl_97784,24,0
961,tbl_97785,24,0
962,tbl_98262,22,12
963,tbl_98403,22,3
964,tbl_98405,22,3
965,tbl_98439,22,0
966,tbl_116956,22,0
967,tbl_116961,0,4
968,tbl_117058,22,0
969,tbl_117061,0,4
970,tbl_117089,0,0
971,tbl_117128,0,4
972,tbl_117456,22,0
973,tbl_117484,22,0
974,tbl_117486,0,4
975,tbl_117561,0,0
976,tbl_211487,0,0
977,tbl_211519,0,7
978,tbl_77056,12,2
979,tbl_77215,12,3
980,tbl_77247,12,0
981,tbl_77279,12,6
982,tbl_77334,1,0
983,tbl_77357,12,0
984,tbl_77408,0,0
985,tbl_80872,12,27
986,tbl_82919,14,22
987,tbl_83943,11,3
988,tbl_86987,13,23
989,tbl_90059,12,22
990,tbl_157362,26,0
991,tbl_157360,0,0
992,tbl_184762,0,242
993,tbl_184769,2,0
994,tbl_184770,2,0
995,tbl_380865,12,0
996,tbl_27357,732,14
997,tbl_39118,32,0
998,tbl_39195,160,0
999,tbl_291448,0,0
1000,tbl_291447,64,0
1001,tbl_142279,28,0
1002,tbl_140881,28,0
1003,tbl_18724,12,0
1004,tbl_12554,0,0
1005,tbl_27206,0,0
1006,tbl_191913,1,0
1007,tbl_283272,4,0
1008,tbl_77003,24,0
1009,tbl_77004,0,0
1010,tbl_77553,0,2
1011,tbl_77561,12,8
1012,tbl_77566,12,0
1013,tbl_77701,12,0
1014,tbl_77859,3,0
1015,tbl_77861,1,0
1016,tbl_77862,1,0
1017,tbl_77900,0,26
1018,tbl_77924,0,1
1019,tbl_78048,0,7
1020,tbl_78187,0,31
1021,tbl_78274,0,0
1022,tbl_78296,0,7
1023,tbl_78324,0,0
1024,tbl_78330,0,7
1025,tbl_78362,0,0
1026,tbl_78380,0,0
1027,tbl_78386,0,0
1028,tbl_158115,26,0
1029,tbl_158116,0,0
1030,tbl_141111,26,0
1031,tbl_141112,0,0
1032,tbl_197701,24,59
1033,tbl_197767,0,59
1034,tbl_198166,0,56
1035,tbl_194285,13,0
1036,tbl_40948,12,0
1037,tbl_58813,26,0
1038,tbl_142510,24,0
1039,tbl_142511,0,0
1040,tbl_52088,0,7
1041,tbl_53098,26,36
1042,tbl_71799,24,7
1043,tbl_72283,24,7
1044,tbl_72284,0,14
1045,tbl_195405,24,0
1046,tbl_195407,0,0
1047,tbl_10530,14,0
1048,tbl_12562,12,0
1049,tbl_53099,0,0
1050,tbl_142065,24,1
1051,tbl_142067,0,0
1052,tbl_157921,26,0
1053,tbl_157920,0,0
1054,tbl_37612,13,0
1055,tbl_37628,26,0
1056,tbl_37670,13,0
1057,tbl_104490,22,0
1058,tbl_104493,11,0
1059,tbl_104516,11,0
1060,tbl_104664,22,0
1061,tbl_104667,22,0
1062,tbl_104796,0,0
1063,tbl_105079,22,12
1064,tbl_105138,22,1
1065,tbl_105143,0,1
1066,tbl_105145,22,0
1067,tbl_105148,22,2
